ids,labels,parents,values,Valores reales,Faltante,7,<-- Este es el selector de municipio,
Acuña,Acuña 47%,,0,47,,47.50611111,Aquí sumo y divido entre 18 que son los indicadores totales,
INDICE DE TRANSPARENCIA,INDICE DE TRANSPARENCIA 70%,Acuña,0,70,,70.11,,
NORMATIVIDAD,NORMATIVIDAD 16%,Acuña,0,16,,16.66666667,,
DATOS ABIERTOS,DATOS ABIERTOS 60%,Acuña,0,60,,60,,
DENUNCIAS,DENUNCIAS 66%,Acuña,0,66,,66.66666667,,
SOLICITUDES,SOLICITUDES 100%,Acuña,0,100,,100,,
PEAC,PEAC 0%,Acuña,0,0,,0,,
PERCEPCIÓN,PERCEPCIÓN 67%,Acuña,0,67,,67.5,,
PEI,PEI 0%,Acuña,0,0,,0,,
Transparencia,Transparencia,INDICE DE TRANSPARENCIA,29,70.11,29.89,2,70.11,"<--(Matriz, Selector de municipio, selector de fila )"
Plan de trabajo,Plan de trabajo,NORMATIVIDAD,75,25,75,3,25,
Reglamento,Reglamento,NORMATIVIDAD,75,25,75,4,25,
Vigencia convenio,Vigencia convenio,NORMATIVIDAD,100,0,100,5,0,
Accesibilidad,Accesibilidad,DATOS ABIERTOS,0,100,0,7,100,
Legibilidad de datos,Legibilidad de datos,DATOS ABIERTOS,50,50,50,8,50,
No-licencia,No-licencia,DATOS ABIERTOS,0,100,0,9,100,
Vinculos de descarga,Vinculos de descarga,DATOS ABIERTOS,50,50,50,10,50,
Estandar de Datos,Estandar de Datos,DATOS ABIERTOS,100,0,100,11,0,
Buzón de fácil acceso,Buzón de fácil acceso,DENUNCIAS,50,50,50,13,50,
Vinculado a SEI,Vinculado a SEI,DENUNCIAS,50,50,50,14,50,
Facil acceso y visible,Facil acceso y visible,DENUNCIAS,0,100,0,15,100,
Solicitudes Atendidas,Solicitudes Atendidas,SOLICITUDES,0,100,0,17,100,
Percepción de corrupción,Percepción de corrupción,PERCEPCIÓN,59,41,59,23,0.59,
Incidencia de corrupción,Incidencia de corrupción,PERCEPCIÓN,6,94,6,24,0.064220183,
Información entregada a el SEA,Información entregada a el SEA,PEI,100,0,100,19,0,
Convenio con SEA,Convenio con SEA,PEI,100,0,100,20,0,
Interoperabilidad de Datos,Interoperabilidad de Datos,PEI,100,0,100,21,0,
Transparencia-Avance,Avance 70.11%,Transparencia,70.11,,,,,
Plan de trabajo-Avance,Avance 25%,Plan de trabajo,25,,,,,
Reglamento-Avance,Avance 25%,Reglamento,25,,,,,
Vigencia convenio-Avance,Avance 0%,Vigencia convenio,0,,,,,
Accesibilidad-Avance,Avance 100%,Accesibilidad,100,,,,,
Legibilidad de datos-Avance,Avance 50%,Legibilidad de datos,50,,,,,
No-licencia-Avance,Avance 100%,No-licencia,100,,,,,
Vinculos de descarga-Avance,Avance 50%,Vinculos de descarga,50,,,,,
Estandar de Datos-Avance,Avance 0%,Estandar de Datos,0,,,,,
Buzón de fácil acceso-Avance,Avance 50%,Buzón de fácil acceso,50,,,,,
Vinculado a SEI-Avance,Avance 50%,Vinculado a SEI,50,,,,,
Facil acceso y visible-Avance,Avance 100%,Facil acceso y visible,100,,,,,
Solicitudes Atendidas-Avance,Avance 100%,Solicitudes Atendidas,100,,,,,
Percepción de corrupción-Avance,Avance 41%,Percepción de corrupción,41,,,,,
Incidencia de corrupción-Avance,Avance 94%,Incidencia de corrupción,94,,,,,
Información entregada a el SEA-Avance,Avance 0%,Información entregada a el SEA,0,,,,,
Convenio con SEA-Avance,Avance 0%,Convenio con SEA,0,,,,,
Interoperabilidad de Datos-Avance,Avance 0%,Interoperabilidad de Datos,0,,,,,
