ids,labels,parents,values,Valores reales,Faltante,44,<-- Este es el selector de municipio,
General,General 40%,,0,40,,40.05555556,Aquí sumo y divido entre 18 que son los indicadores totales,
INDICE DE TRANSPARENCIA,INDICE DE TRANSPARENCIA 90%,General,0,90,,90,,
NORMATIVIDAD,NORMATIVIDAD 16%,General,0,16,,16.66666667,,
DATOS ABIERTOS,DATOS ABIERTOS 51%,General,0,51,,51.4,,
DENUNCIAS,DENUNCIAS 41%,General,0,41,,41.33333333,,
SOLICITUDES,SOLICITUDES 100%,General,0,100,,100,,
PEAC,PEAC 0%,General,0,0,,0,,
PERCEPCIÓN,PERCEPCIÓN 50%,General,0,50,,50,,
SEI,SEI 0%,General,0,0,,0,,
Transparencia,Transparencia,INDICE DE TRANSPARENCIA,10,90,10,2,90.09421053,"<--(Matriz, Selector de municipio, selector de fila )"
Plan de trabajo,Plan de trabajo,NORMATIVIDAD,75,25,75,3,25,
Reglamento,Reglamento,NORMATIVIDAD,75,25,75,4,25,
Vigencia convenio,Vigencia convenio,NORMATIVIDAD,100,0,100,5,0,
Accesibilidad,Accesibilidad,DATOS ABIERTOS,0,100,0,7,100,
Legibilidad de datos,Legibilidad de datos,DATOS ABIERTOS,68,32,68,8,32.23684211,
No-licencia,No-licencia,DATOS ABIERTOS,0,100,0,9,100,
Vinculos de descarga,Vinculos de descarga,DATOS ABIERTOS,75,25,75,10,25.65789474,
Estandar de Datos,Estandar de Datos,DATOS ABIERTOS,100,0,100,11,0,
Buzón de fácil acceso,Buzón de fácil acceso,DENUNCIAS,52,48,52,13,48.68421053,
Vinculado a SEI,Vinculado a SEI,DENUNCIAS,50,50,50,14,50,
Facil acceso y visible,Facil acceso y visible,DENUNCIAS,74,26,74,15,26.31578947,
Solicitudes Atendidas,Solicitudes Atendidas,SOLICITUDES,0,100,0,17,100,
Percepción de corrupción,Percepción de corrupción,PERCEPCIÓN,47,53,47,22,53.28947368,
Incidencia de corrupción,Incidencia de corrupción,PERCEPCIÓN,53,47,53,23,47.80701754,
Información entregada a el SEA,Información entregada a el SEA,SEI,100,0,100,18,0,
Convenio con SEA,Convenio con SEA,SEI,100,0,100,19,0,
Interoperabilidad de Datos,Interoperabilidad de Datos,SEI,100,0,100,20,0,
Alineación,Alineación,PEAC,100,0,100,25,0,
Conceptualización,Conceptualización,PEAC,100,0,100,26,0,
Consulta a PEAC,Consulta a PEAC,PEAC,100,0,100,27,0,
Transparencia-Avance,Avance 90%,Transparencia,90,,,,,
Plan de trabajo-Avance,Avance 25%,Plan de trabajo,25,,,,,
Reglamento-Avance,Avance 25%,Reglamento,25,,,,,
Vigencia convenio-Avance,Avance 0%,Vigencia convenio,0,,,,,
Accesibilidad-Avance,Avance 100%,Accesibilidad,100,,,,,
Legibilidad de datos-Avance,Avance 32%,Legibilidad de datos,32,,,,,
No-licencia-Avance,Avance 100%,No-licencia,100,,,,,
Vinculos de descarga-Avance,Avance 25%,Vinculos de descarga,25,,,,,
Estandar de Datos-Avance,Avance 0%,Estandar de Datos,0,,,,,
Buzón de fácil acceso-Avance,Avance 48%,Buzón de fácil acceso,48,,,,,
Vinculado a SEI-Avance,Avance 50%,Vinculado a SEI,50,,,,,
Facil acceso y visible-Avance,Avance 26%,Facil acceso y visible,26,,,,,
Solicitudes Atendidas-Avance,Avance 100%,Solicitudes Atendidas,100,,,,,
Percepción de corrupción-Avance,Avance 53%,Percepción de corrupción,53,,,,,
Incidencia de corrupción-Avance,Avance 47%,Incidencia de corrupción,47,,,,,
Información entregada a el SEA-Avance,Avance 0%,Información entregada a el SEA,0,,,,,
Convenio con SEA-Avance,Avance 0%,Convenio con SEA,0,,,,,
Interoperabilidad de Datos-Avance,Avance 0%,Interoperabilidad de Datos,0,,,,,
